,var,t,P,DoF
0,fixed acidity,2.49632109204547,0.012723672495344097,916.0
1,volatile acidity,-11.320633102803598,6.706671885191215e-28,916.0
2,citric acid,4.824927186863836,1.6399428137756157e-06,916.0
3,residual sugar,-0.7885260475930288,0.43059309015306313,916.0
4,chlorides,-2.4452526677686532,0.014662460012480342,916.0
5,free sulfur dioxide,2.4639566935889983,0.013924014982039372,916.0
6,total sulfur dioxide,1.3822784472277558,0.1672231653637825,916.0
7,density,-0.8328078533309605,0.40517018629584567,916.0
8,pH,-3.60757781021202,0.0003257881155574565,916.0
9,sulphates,4.772541713735056,2.11645116319336e-06,916.0
10,alcohol,4.473627807390232,8.656663803698218e-06,916.0
11,quality,38.49343158802674,1.328961527859737e-193,916.0
